,Jobs,Company,Location,Summary,Description,Posted on,Job Url,Salary
10,"Profile for CBS - Group B1
new",Wipro LTD,"Pune, Maharashtra","If you encounter any suspicious mail, advertisements or persons who offer jobs at Wipro, please do let us know by contacting us on helpdesk.recruitment@wipro…","Pune, India
 NONE
 52303
Job Description
¿ Good communication- written and verbal; Good Domain knowledge in Accounting; Basic knowledge in MS Office, especially MS Excel, MS Word, PPT ¿ Organizational and time-management skills ¿ Attention to detail ¿ Team handling & Teamwork skills ¿ Ability to work with little supervision and meet tight deadlines ¿ Open to Shifts especially US ¿ Hard Working/Willingness to stretch ¿ Sense of responsibility initiative and high quality work standards ¿ Resourcefulness/Problem Solving/Self-Starter


Roles and Responsibilities
Experience Range: 1-2 Years
We are an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, gender identity, sexual orientation, disability status, protected veteran status, or any other characteristic protected by law. Any complaints or concerns regarding the recruitment, application or hiring process should be directed to our Ombuds group www.wiproombuds.com. Any US applicant can also call our hotline at 1-866-921-6714. Applicants outside the US can request the applicable hotline number via email via the Ombuds group.
Wipro does not charge any fee at any stage of the recruitment process and has not authorized agencies/partners to collect any fee for recruitment. If you encounter any suspicious mail, advertisements or persons who offer jobs at Wipro, please do let us know by contacting us on helpdesk.recruitment@wipro.com",5 days ago,www.indeed.co.in/rc/clk?jk=5708cfebc23b2b52&fccid=8d25321c1defe73f&vjs=3,Not mentioned
11,"Computer operator & Back office
new",Ram Babu Jatav (proprietor of Ulimate services),"Bulandshahr, Uttar Pradesh","We are looking for Computer Operator in Back Office, Maintain Data on our google drive applications (documents, sheets, forms) within the organization, as he…","We are looking for Computer Operator in Back Office, Maintain Data on our google drive applications (documents, sheets, forms) within the organization, as he will be operating with delicate information. He will also do filing, copying, and Print Document as required.
Responsibilities: -
â€¢Maintain database on regular basis.
â€¢Scan And Print documents.
â€¢Verify data and correct database.
â€¢Review and verify the entries.
â€¢Give the regular Detail of business.
â€¢Transfer data from PDF formats in system.
â€¢Maintain the records Confidential.
Required Skills and Qualifications: -
â€¢Knowledge of MS Office
â€¢Good typing speed.
â€¢Communication skills-oral and written.
â€¢Any Diploma/Degree 12th with good typing skills.
â€¢Knowledge of Internet Browsing.
â€¢Age - 18 To 28 Yr.
Benefits: -
â€¢No Target
â€¢Fixed Shift
â€¢Parking Free
â€¢Incentives
â€¢Fresherâ€™s Welcome
â€¢Contact Hr. Neha Mishra -07838261012",1 day ago,www.indeed.co.in/rc/clk?jk=49b023febac163d0&fccid=d45cd7e17c48425b&vjs=3,Not mentioned
12,"Scientist B
new",Central Silk Board,"Bengaluru, Karnataka","Ervaiion as OBC, that date, in addition to the h) i) The candidates belonging to any of the above mentioned categories are required to upload the scanned copy…","Central Silk Board Recruitment 2020 - Scientist B Vacancies - 1,77,500 Salary - Apply NowCentral Silk Board Recruitment 2020-21: Employees State Insurance Corporation (Central Silk Board) announced Job notification to hire candidates who completed B.Tech/B.E,M.Sc for the position of Scientist B. To Apply for the job posting from Central Silk Board, please click on the Apply Now button below.Company Name: Central Silk Board
Post Name: Scientist B
No of Posts: 74
Salary: 56,100 - 177,500 (Per Month)
Experience: fresher
Education: B.Tech/B.E,M.Sc
Location: Bangalore
Last Date: 24-07-2020

Selection Procedure:
Scientist-C & Scientist-B: Selection will be based on Onlinewritten Test and Interview. The total marks for Online/Written Test and Interview will be same. However, in order to consider the suitability of the candidate, 75% weightage will be given for Online/Written Test marks and 25% weightage will be given for Interview marks.

Marks to be awarded for various components of interview like qualification, research experience, publications, performance in interview etc. will be decided by the Selection Committee which interviews the candidates before commencement of Interview.

Assistant (Technical): Through Online/ Written Test

How To Apply:
Candidates must apply online through the website www.csb.gov.in. Applications received through any other mode would not be accepted and summarily rejected. Candidates must enclose the documents/certificates in support of all the claims made by them in the application like Date of Birth, Experience, Qualification(s) etc. or any other information, separately against each claim.

a) Matriculation/10th Standard or equivalent certificate indicating date of birth, or mark sheet of Matriculation/IOth Standard or equivalent issued by Central/State Board indicating Date of Birth in support of claim of age. Where date of birth is not available in certificate/mark sheets issued by concerned Educational Boards, School leaving certificate indicating Date of Birth, Birth Certificate issued by concerned State Govemment should be enclosed.

b) Degree certificate alongwith mark sheets as proof of educational qualification claimed. In the absence of Degree certificate, provisional certificate along with mark sheets pertaining to all the academic years.
c) Certificate(s) from the Head(s) of Organizati (s) for the entire experience claimed, clearly mentioning the duration of employment (date, month & year) indicating the basic pay and consolidated pay. The certificate(s) should also mention the nature of duties performed/experience obtained in the post(s) with duration(s) as per FORM E.

d) Economically Weaker Sections (EWS): The reservation and applicable criteria for Economically Weaker Sections (EWS) shall be as per Office Memorandum No. 36039/1/2019-Estt (Res) dated 31.012019 of Department of Personnel and Training, Government of India.
The Competent Authority for the issue of the certificate to Scheduled Castes (SC) / Scheduled Tribes (ST) / Other Backward Classes (OBC)/ Economically Weaker Sections (EWS) is as under (as notified by Government of India from time to time):

i) District Magistrate / Additional District Magistrate / Collector / Deputy Commissioner / Additional Deputy Commissioner / Deputy Collector / First Class Stipendiary Magistrate / Sub-Divisional Magistrate (not below of the rank of First Class Stipendiary Magistrate) / Taluka Magistrate / Executive Magistrate / Extra Assistant Commissioner

(ii) Chief Presidency Magistrate/ Additional Chief Presidency Magistrate/ Presidency Magistrate

(iii) Revenue Officer not below the rank of Tahsildar

(iv) Sub-divisional officer of the Area where the candidate and or his family normally resides.
The format of certificate to be produced by a Candidate belonging to scheduled caste or Scheduled tribe in support of his / her claim shall be as per FORM A and the format of certificate to be produced by a Candidate belonging to Other Backward Classes in support of his / her claim shall be as per FORM B and the declaration as per FORM C. The format of certificate to be produced by a Candidate belonging to Economically Weaker Sections shall be as per FORM D. The candidates belonging to these categories are required to upload the scanned copy of certificate, strictly in these formats only, at time of online application and also produce the original copy of certificates, strictly in these formats only, at the time of interview.

The Competent Authority for the issue of the certificate to Persons with Benchmark Disabilities (as notified by Government of India from time to time): The authorized certifying authority would be in accordance with ""The Rights Of Person with Disabilities Rules, 2017"":

(ii) the concerned medical authority in a government hospital where he may be undergoing or may have undergone treatment in connection with his disability: The format of certificate of disability will be as per applicable Form (s) appended to ""The Rights of Person with Disabilities Rules, 2017"".

g) A declaration in the prescribed format by candidate he/she does not belong to the creamy layer on the community certificate (OBC). ervaiion as OBC, that date, in addition to the h) i) The candidates belonging to any of the above mentioned categories are required to upload the scanned copy of certificate, strictly in the specified formats only, at the time of online application and also produce the original copy of certificates at the time of interview. Documentary support for any other claim(s) made.

1. Eligible candidates are required to apply ONLINE through Central Candidates after successfully Silk Board website www.csb.qov.in. submitting application online are required to take print out of the same, put his/her signature at the specified space, enclose photocopies of certificates with regard to educational qualifications, age, experience, Caste Certificate in the case of SCIST/OBC/EWS etc. issued by Competent Authority in the prescribed proforma and Disability Certificate in respect of Persons with Disabilities[Certificate issued by Medical Board] etc.

2. Duly signed application alongwith all relevant documents may be sent by Speed Post/Registered post to the Member-Secretar_L_ Central Silk Board, Ministry Of Textiles, Government of India, Hosur Road, B.T.M, Layout. Madiwala. Bangalore - 560 060 so as to reach this office on or before 24th July, 2020.",Today,www.indeed.co.in/rc/clk?jk=37ca41675d2eb17a&fccid=abaa5f9f6f81821e&vjs=3,"₹56,100 - ₹1,77,500 a year"
13,"Computer Operator
new",Shiva Industries,"Delhi, Delhi","Industry Type Construction-Engineering-Cement-Metals.
Keywords assistant computer operator,Computer operating,Powerpoint,Excel,MS Outlook,Executive.","Functional Area Other
Industry Type Construction-Engineering-Cement-Metals
Keywords assistant computer operator,Computer operating,Powerpoint,Excel,MS Outlook,Executive
Required Computer Operator with the following qualifications:


Good knowledge of Microsoft Word, Excel, PowerPoint


Should be able to send receive emails on Microsoft Outlook


Should have average typing skills


Should be able to draft letters and emails

Keyskills


Word Excel, Powerpoint, MS Outlook, Typing and Computer Operating.
Desired Candidate Profile
Profile Description
NA
Under Graduate Qualification
PG Qualifications Any PG Course (Any Specialization)
Note: Candidate should have either UG or PG qualifications",Today,www.indeed.co.in/rc/clk?jk=c66cd072b0305ca9&fccid=4bdd59fdee468dd7&vjs=3,"₹2,00,000 - ₹3,00,000 a year"
14,Conductor,Andaman and Nicobar Administration,"Andaman, Andaman and Nicobar Islands",Method of recruitment whether by direct recruitment or by promotion and percentage of the vacancies to be filled by various methods: 100% by direct recruitment.,"Andaman and Nicobar Administration Recruitment 2020 - Conductor Vacancies - 10TH Pass - 56,900 Salary - Apply NowAndaman and Nicobar Administration Recruitment 2020-21: Employees State Insurance Corporation (Andaman and Nicobar Administration) announced Job notification to hire candidates who completed 10TH for the position of Conductor. To Apply for the job posting from Andaman and Nicobar Administration, please click on the Apply Now button below.Company Name: Andaman and Nicobar Administration
Post Name: Conductor
No of Posts: 23
Salary: 18,000 - 56,900 (Per Month)
Experience: fresher
Education: 10TH
Location: Andaman and Nicobar Island
Last Date: 22-07-2020

Selection Procedure:
Method of recruitment whether by direct recruitment or by promotion and percentage of the vacancies to be filled by various methods: 100% by direct recruitment

How To Apply:
1. A&N Administration’s website “andaman.gov.in” for inviting Claims and Objections of the stakeholders for the above post within 30 days from the date of publishing this matter. The Claims and Objections may be submitted to the Director of Shipping Services, Port Blair.”

2. Last date of Receiving Application: 22.07.2020",24 days ago,www.indeed.co.in/rc/clk?jk=7d585117658edc08&fccid=e3dd4e7f152e88d3&vjs=3,"₹18,000 - ₹56,900 a year"
15,"Editor- English
new",APC Books,India,"Do you have good English grammar and language skills with an interest in K-12 education?
Arya Publications is looking for an editor to review and perfect…","Do you have good English grammar and language skills with an interest in K-12 education?


Arya Publications is looking for an editor to review and perfect manuscripts of school textbooks for classes 9-12. The editor should possess excellent verbal and written communication skills and strong grasp of English grammar.",4 days ago,www.indeed.co.in/rc/clk?jk=0f12cedfad48451a&fccid=13747c823e5c7b2a&vjs=3,Not mentioned
16,"Village Extension Officer/ Warden
new",Lakshadweep Administration,"Kavarathy (Lak), Lakshadweep","To Apply for the job posting from Lakshadweep Administration, please click on the Apply Now button below.
The applications received after due date and time will…","Directorate Of Women and Child Development Lakshadweep Recruitment 2020 - Village Extension Officer/ Warden Vacancies - 25,500 Salary - Apply NowLakshadweep Administration Recruitment 2020-21: Employees State Insurance Corporation (Lakshadweep Administration) announced Job notification to hire candidates who completed 12TH for the position of Village Extension Officer/ Warden. To Apply for the job posting from Lakshadweep Administration, please click on the Apply Now button below.Company Name: Lakshadweep Administration
Post Name: Village Extension Officer/ Warden
No of Posts: 8
Salary: 25,500 (Per Month )
Experience: fresher
Education: 12TH
Location: Lakshadweep
Last Date: 31-07-2020

Selection Procedure:
A written test will be conducted having objective type questions of 100 marks. Candidates attending the test have to secure minimum 40 marks to qualify the written test.

How To Apply:
Application in plain paper with attested copies of certificate showing Educational qualifications, Caste Certificates/proof of age etc. should be sent to the Director, Department of Women & Child Development, U.T.of Lakshadweep so as to reach on or before 31.07.2020 at 5.00 P.M. The applications received after due date and time will not be entertained.",2 days ago,www.indeed.co.in/rc/clk?jk=46e3569dc812290c&fccid=87761ad53b2fa163&vjs=3,"₹25,500 a month"
17,"Desktop EUC L1
new",Iron Systems,"Bengaluru, Karnataka","Completion (or near completion) of Microsoft certifications – e.g. MCP, MCITP, MCSE etc.
Must have good working knowledge of Windows 7/10 and related Office…","Key responsibilities:
Provide onsite and desk side support services to end users.
Troubleshoot PC related problems at the direction of CLIENT level 2 or SPOC.
Complete incidents and requests within SLA in pressurized environment.
Build, configuring and troubleshoot Install “Gold” image on Customer PC and laptop applications and hardware components.
Ensure tickets are updated on a daily basis.
Support meeting room environment and video conferencing.
Support printers, scanners and other peripherals.
Support mobile devices, such as iPads, iPhones and Android devices.
End-User Data back-up and restoration when required in the course of a service incident.
Smart hands support for data center equipment as per required SLA (in specified locations)
As directed by CLIENT Tech support will assist in troubleshooting the data center devices
Replace defective components cards in data center equipment’s as advised by CLIENT Tech Support e.g., Remove a module and replace it, reconnecting patch cables. Daily tape change in support of local Backup Routine in required sites
Import /Export tapes to the tape libraries as advised by CLIENT tech support.
Behavioral skills required:
Individual must have good customer facing skills and be well presented.
Demonstrates independent and pro-active thinking
Builds effective relationships both within the team and across the business and Professional Services
Must be able to work to specified standards and required levels of deportment, conduct, and sound ethical workplace practices.
Must be able to work alone and unsupervised, taking the initiative when necessary.
Must be organized and prioritize work appropriately.

 Technical skills & Experience required:
Must have experience of using a Call Logging system.
Must have good working knowledge of Windows 7/10 and related Office applications.
Support experience of MACs would be beneficial
Knowledge of mobile devices, in particular Androids and iPhones
Working knowledge of current and legacy hardware platforms. Experience with building, configuring, replacing and troubleshooting PC and laptop hardware components.
Familiarity with Microsoft SCCM.
Ability to replace defective parts, as identified by CLIENT.
Excellent hands on experience in installation and troubleshooting DC equipment’s, Rack and Stack of the DC equipment/cable
Excellent communication are mandatory in English and Local language
Desired Educational Requirements:
Completion of CompTIA certifications – e.g. A+, Network+ etc
Completion (or near completion) of Microsoft certifications – e.g. MCP, MCITP, MCSE etc",1 day ago,www.indeed.co.in/rc/clk?jk=e8245e3f1e32f9ab&fccid=39e7cc3fd9e2cd7d&vjs=3,Not mentioned
18,"Research Associate
new",Pinkerton,"Gurgaon, Haryana","The Research Associate, which may be located at a specific client location, is responsible for data entry, report writing, client account management, employment…","The Research Associate, which may be located at a specific client location, is responsible for data entry, report writing, client account management, employment, reference, education, address, database and criminal verifications.
DETAILS
Essential Functions

The functions listed describe the business purpose of this job. Specific duties or tasks may vary and be documented separately. The employee might not be required to perform all functions listed. Additional duties may be assigned, and functions may be modified, according to business necessity.
All assigned duties or tasks are deemed to be part of the essential functions, unless such duties or tasks are unrelated to the functions listed, in which case they are deemed to be other (non-essential) functions.
Employees are held accountable for successful job performance. Job performance standards may be documented separately, and may include functions, objectives, duties or tasks not specifically listed herein.
In performing functions, duties or tasks, employees are required to know and follow safe work practices, and to be aware of company policies and procedures related to job safety, including safety rules and regulations. Employees are required to notify superiors upon becoming aware of unsafe working conditions.
All functions, duties or tasks are to be carried out in an honest, ethical and professional manner, and to be performed in conformance with applicable company policies and procedures. In the event of uncertainty or lack of knowledge of company policies and procedures, employees are required to request clarification or explanations from superiors or authorized company representatives.
The Essential Functions Include:
Represent Pinkerton's core values of integrity, vigilance, and excellence.
Complete employment, reference, education, address, database and criminal verifications.
Ensure assigned work is completed, as defined by the process and applicable turnaround time.
Responsible for the achievement of both productivity and quality goals.
Maintain and update online portal, as needed.
Ensure accurate and correct data entry and report writing.
Manage client calls; based on situation or issue, escalate as needed.
All other duties, as assigned.
Minimum Hiring Standards

Additional qualifications may be specified and receive preference, depending upon the nature of the position.
Must have a High School Diploma, GED, or equivalent.
Must be willing to participate in the Company's pre-employment screening process, which may include drug testing and background investigation.
Must meet the country's age requirements.
Must have a reliable means of communication (i.e., email, cell phone).
Must have a reliable means of transportation (public or private).
Must have the legal right to work in India.
Must have the ability to speak, read, and write English.
Education/Experience

Graduate. Post graduate, preferred. Fresher with or without experience of background screening, administrative, and/or compliance experience are required.
Competencies

Background screening, administrative, and/or compliance experience.
Proficient typing skills.
Attention to detail and accuracy.
Able to analyze issues and propose appropriate solutions.
Strong written and verbal communication skills.
Professional demeanor while interacting with internal and external stake holders.
Able to carry out responsibilities under general supervision.
Serve as an effective team member.
Able to organize workload for effective implementation.
Computer skills; Microsoft Office.
Working Conditions

With or without reasonable accommodation, requires the physical and mental capacity to perform effectively all essential functions. In addition to other demands, the demands of the job include:
Must undergo and meet company standards for background and reference checks, drug testing, and behavioral selection survey.
Maintain composure in dealing with authorities, executives, clients, staff, and the public occasionally under conditions of urgency and in pressure situations.
Exposure to sensitive and confidential information.
Regular computer usage.
Ability to handle multiple tasks concurrently.
Must be able to see, hear, speak, and write clearly in order to communicate with employees and/or customers.
Manual dexterity required for occasional reaching and lifting of small objects and operating office equipment.
Close and distance vision and ability to adjust focus.
Travel, as required.
Pinkerton is an equal opportunity employer and provides equal opportunity to all applicants for all positions without regard to race/ethnicity, color, national origin, ancestry, sex/gender, gender identity/expression, sexual orientation, marital/prenatal status, pregnancy/childbirth or related conditions, religion, creed, age, disability, genetic information, veteran status or any protected status by local, state, federal or country-specific law.",1 day ago,www.indeed.co.in/rc/clk?jk=bd38ac30f5356728&fccid=1fb5c7fd9f769623&vjs=3,Not mentioned
19,"Data Entry Operator
new",Government of Andhra Pradesh,"Anantapur, Andhra Pradesh",The filled in applications without signature of the candidate or without any of the following certificates will be summarily rejected without further notice.,"Govt Medical College Ananthapuramu Recruitment 2020 - Data Entry Operator Vacancies - 17,000 Salary - Apply NowGovernment of Andhra Pradesh Recruitment 2020-21: Employees State Insurance Corporation (Government of Andhra Pradesh) announced Job notification to hire candidates who completed Any Graduate,PGDCA for the position of Data Entry Operator. To Apply for the job posting from Government of Andhra Pradesh, please click on the Apply Now button below.Company Name: Government of Andhra Pradesh
Post Name: Data Entry Operator
No of Posts: 5
Salary: 17,000 (Per Month )
Experience: fresher
Education: Any Graduate,PGDCA
Location: Anantapur
Last Date: 31-07-2020

Selection Procedure:
The process ofselection of candidatesforthe said posts will be made purely based on merit duly following the Rule ofReservation

a) 75 marks based on aggregate of marks obtained in all the years of qualifying examination.

b) Upto 15 marksfor experience of Governmentservice will be allowed to the candidates who are working on contract / outsourcing basis in earmarkedGovernment Institutions/ State and CentralGovt.,Schemes
as detailed;

How To Apply:
The filled in application forms shall be submitted in person /registered post duly enclosing the following certificates with self-attestation, at O/o Principal, Govt. Medical College, Ananthapuramu from 16.07.2020 to 31.07.2020 during all working days (10:30 AM to 05:00 PM). The filled in applications without signature of the candidate or without any of the following certificates will be summarily rejected without further notice.

Document Required:
1. SSC or its equivalent examination pass –cum-marks memo.

2. Intermediate or 10 + 2 examination pass-cum-marks memo.

3. GNM/BSc.Nursingpasscertificate(incaseofStaffNursepost) Pharmacy / Pharmacy pass certificate (in case of Pharmacist Gr-II)

4. Consolidated /yearwisemarksmemosofqualifying examination (GNM / BSc. Nursing / Pharmacy /Pharmacy).

5. Registration certificate from the respective Councils (AP Nursing Council / AP Pharmacy Council).

6. Internship completion /Apprenticeship /Clinical Training certificate if applicable.

7. Latest Caste certificate issued by the Tahsildar concerned (mee seva).

8. Study certificates from 4th Class to 10th Class (for local status). In case of private study,the residence certificate obtained fromtheTahsildar concerned for consecutive 7 years prior to passing of SSC or its equivalent.

9. Physically Handicapped certificate (SADAREM Camp certificate) in case of candidates claiming reservation under PH quota.

10. Relevant certificate in respect of candidates claiming Ex-Servicemen quota.

11. The Contract & Outsourcing posts – the Candidates should apply with relevant certificates as mentioned in notification",2 days ago,www.indeed.co.in/rc/clk?jk=241776fd06c14d5d&fccid=9f1e28fd79ded77b&vjs=3,"₹17,000 a month"
20,"Service Desk Associates
new",Allied Digital,"Mumbai, Maharashtra","Good communication Skills, Handling queries, customer orientation.
Should have 2+ yrs of in providing Level Support to all departments Schedule time estimates…","Job Description

Should have 2+ yrs of in providing Level Support to all departments Schedule time estimates for projects/task deliverables, adhere to SLA.

Good communication Skills, Handling queries, customer orientation.",Today,www.indeed.co.in/rc/clk?jk=c871a8f58f618b27&fccid=3b6fd274c6b5554a&vjs=3,Not mentioned
